base_line: 0285
acore: XCU_A_XAP-release-APP7.1.66-BSP1.10.10-rc30.20240821-425
vin: HLX33B122P1151016
mdc_version: v2.0.0
project_info: project_code:deviation-detect,strategy_code:deviation-info,version:20240830155442
timestamp,EPS_StrgAng,EPS_StrgAngValid,EPS_StrgAngSpeed,EPS_StrgWhlToq,EPS_StrgWhlToqValid,ACULongdAcc,ACULatAcc,ACUYawRate,ACULongdSnsrState,ACULatSnsrState,ACUYawRateSnsrSta,FLWhlSpd,FRWhlSpd,RLWhlSpd,RRWhlSpd,FLWhlSpdValid,FRWhlSpdValid,RLWhlSpdValid,RRWhlSpdValid,VehSpd,VehSpdValid,FLTirePrsVal,FRTirePrsVal,RLTirePrsVal,RRTirePrsVal,INS_Status,INS_Car_Status,INS_Std_Lon,INS_Std_LocatHeight,INS_Std_Heading,INS_GpsFlag_Pos,INS_ConStatus,INS_NumSV,INS_Odom_X_Pos,INS_Odom_Y_Pos,INS_Odom_Z_Pos,INS_DeviationAngle,INS_FusionSignal,INS_Odom_Spd,GNSS_AntSts,INS_PitchAngle,INS_RollAngle,INS_HeadingAngle,INS_LocatHeight,INS_Latitude,INS_Longitude,INS_NorthSpd,INS_EastSpd,INS_ToGroundSpd,INS_Std_Lat

2024-08-30 16:53:34.282 -6.19999981,0,0,0.119999997,0,-0.00540000014,0.0184000004,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00300000003,0.00200000009,0.289999992,11,1,19,-477.947998,-125.004997,34.5740013,74.25,3,0.00115729996,0,-0.164555997,1.15376401,94.2381439,41.3470001,40.1688639,116.580082,-0.00189439999,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:53:34.293 -6.19999981,0,0,0.0199999996,0,-0.00659999996,0.0177999996,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00300000003,0.00200000009,0.289999992,11,1,19,-477.947998,-125.004997,34.5740013,43.7999992,3,0.00115729996,0,-0.164555997,1.15376401,94.2381439,41.3470001,40.1688639,116.580082,-0.00189439999,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:53:34.304 -6.19999981,0,0,0.0199999996,0,-0.00659999996,0.0177999996,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00300000003,0.00200000009,0.289999992,11,1,19,-477.947998,-125.004997,34.5740013,-8.85000038,3,0.00115729996,0,-0.164555997,1.15376401,94.2381439,41.3470001,40.1688639,116.580082,0.00115729996,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:53:34.315 -6.19999981,0,0,0.0199999996,0,-0.0083999997,0.0177999996,0.0599999987,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00300000003,0.00200000009,0.289999992,11,1,19,-477.947998,-125.004997,34.5740013,6,3,0.00115729996,0,-0.164555997,1.15376401,94.2381439,41.3470001,40.1688639,116.580082,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:53:34.326 -6.19999981,0,0,0.0199999996,0,-0.0083999997,0.0177999996,0.0599999987,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00300000003,0.00200000009,0.289999992,11,1,19,-477.947998,-125.004997,34.5740013,6,3,0.00115729996,0,-0.164555997,1.15376401,94.2381439,41.3470001,40.1688639,116.580082,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:53:34.337 -6.19999981,0,0,0.0199999996,0,-0.0083999997,0.0177999996,0.0599999987,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00300000003,0.00200000009,0.289999992,11,1,19,-477.947998,-125.004997,34.5740013,6,3,0.00115729996,0,-0.164555997,1.15376401,94.2381439,41.3470001,40.1688639,116.580082,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:53:34.348 -6.19999981,0,0,0.0199999996,0,-0.0092000002,0.0184000004,0.100000001,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00300000003,0.00200000009,0.289999992,11,1,19,-477.947998,-125.004997,34.5740013,6,3,0.00115729996,0,-0.164555997,1.15376401,94.2381439,41.3470001,40.1688639,116.580082,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:53:34.359 -6.19999981,0,0,0.0199999996,0,-0.00879999995,0.0177999996,0.0799999982,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00300000003,0.00200000009,0.289999992,11,1,19,-477.947998,-125.004997,34.5740013,1.64999998,3,0.00115729996,0,-0.164555997,1.15376401,94.2381439,41.3470001,40.1688639,116.580082,0.00115729996,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:53:34.369 -6.19999981,0,0,0.0199999996,0,-0.0109999999,0.0162000004,0.0299999993,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00300000003,0.00200000009,0.289999992,11,1,19,-477.947998,-125.004997,34.5740013,1.64999998,3,0.00115729996,0,-0.164555997,1.15376401,94.2491302,41.3470001,40.1688639,116.580082,0.00115729996,0.00115729996,0.00115729996,0.00200000009,
