base_line: 0285
acore: XCU_A_XAP-release-APP7.1.66-BSP1.10.10-rc30.20240821-425
vin: HLX33B122P1151016
mdc_version: v2.0.0
project_info: project_code:deviation-detect,strategy_code:deviation-info,version:20240830155442
timestamp,EPS_StrgAng,EPS_StrgAngValid,EPS_StrgAngSpeed,EPS_StrgWhlToq,EPS_StrgWhlToqValid,ACULongdAcc,ACULatAcc,ACUYawRate,ACULongdSnsrState,ACULatSnsrState,ACUYawRateSnsrSta,FLWhlSpd,FRWhlSpd,RLWhlSpd,RRWhlSpd,FLWhlSpdValid,FRWhlSpdValid,RLWhlSpdValid,RRWhlSpdValid,VehSpd,VehSpdValid,FLTirePrsVal,FRTirePrsVal,RLTirePrsVal,RRTirePrsVal,INS_Status,INS_Car_Status,INS_Std_Lon,INS_Std_LocatHeight,INS_Std_Heading,INS_GpsFlag_Pos,INS_ConStatus,INS_NumSV,INS_Odom_X_Pos,INS_Odom_Y_Pos,INS_Odom_Z_Pos,INS_DeviationAngle,INS_FusionSignal,INS_Odom_Spd,GNSS_AntSts,INS_PitchAngle,INS_RollAngle,INS_HeadingAngle,INS_LocatHeight,INS_Latitude,INS_Longitude,INS_NorthSpd,INS_EastSpd,INS_ToGroundSpd,INS_Std_Lat

2024-08-30 16:43:38.785 -1.70000005,0,0,-0.579999983,0,-0.00579999993,0.0114000002,0.0500000007,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,10.1999998,3,0.00115729996,0,-0.0986400023,0.81319797,93.4141922,41.3639984,40.1688996,116.579845,0.00115729996,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:43:38.796 -1.70000005,0,0,-0.579999983,0,-0.00600000005,0.0114000002,0.0599999987,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,10.1999998,3,0.00115729996,0,-0.0986400023,0.81319797,93.4141922,41.3639984,40.1688996,116.579845,0.00115729996,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:43:38.807 -1.70000005,0,0,-0.579999983,0,-0.00600000005,0.0114000002,0.0599999987,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,-55.7999992,3,0.00115729996,0,-0.0986400023,0.81319797,93.4141922,41.3639984,40.1688996,116.579845,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:43:38.818 -1.70000005,0,0,-0.579999983,0,-0.00600000005,0.0114000002,0.0399999991,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,-60.9000015,3,0.00115729996,0,-0.0986400023,0.81319797,93.4141922,41.3639984,40.1688996,116.579845,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:43:38.828 -1.70000005,0,0,-0.579999983,0,-0.00800000038,0.0109999999,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,-60.9000015,3,0.00115729996,0,-0.0986400023,0.81319797,93.4141922,41.3639984,40.1688996,116.579845,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:43:38.839 -1.70000005,0,0,-0.579999983,0,-0.00800000038,0.0109999999,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,85.5,3,0.00115729996,0,-0.0986400023,0.824184,93.4141922,41.3639984,40.1688996,116.579845,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:43:38.850 -1.70000005,0,0,-0.579999983,0,-0.00800000038,0.0109999999,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,85.5,3,0.00115729996,0,-0.0986400023,0.824184,93.4141922,41.3639984,40.1688996,116.579845,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:43:38.861 -1.70000005,0,0,-0.579999983,0,-0.00800000038,0.0109999999,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,92.0999985,3,0.00115729996,0,-0.0986400023,0.824184,93.4141922,41.3639984,40.1688996,116.579845,0.00115729996,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:43:38.872 -1.70000005,0,0,-0.579999983,0,-0.00760000013,0.0115999999,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,92.0999985,3,0.00115729996,0,-0.0986400023,0.824184,93.4141922,41.3639984,40.1688996,116.579845,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:43:38.884 -1.70000005,0,0,-0.579999983,0,-0.00680000009,0.0109999999,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,90.4499969,3,0.00115729996,0,-0.0986400023,0.824184,93.4141922,41.3639984,40.1688996,116.579845,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:43:38.895 -1.70000005,0,0,-0.579999983,0,-0.00680000009,0.0109999999,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,111.75,3,0.00115729996,0,-0.0986400023,0.824184,93.4141922,41.3639984,40.1688996,116.579845,-0.00189439999,-0.00189439999,-0.00189439999,0.00200000009,
2024-08-30 16:43:38.906 -1.70000005,0,0,-0.579999983,0,-0.00620000018,0.0109999999,0.0399999991,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,111.75,3,0.00115729996,0,-0.0986400023,0.824184,93.4141922,41.3639984,40.1688996,116.579845,-0.00189439999,-0.00189439999,0.00115729996,0.00200000009,
2024-08-30 16:43:38.917 -1.70000005,0,0,-0.579999983,0,-0.00620000018,0.0109999999,0.0399999991,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,112.050003,3,0.00115729996,0,-0.0986400023,0.824184,93.4141922,41.3639984,40.1688996,116.579845,-0.00189439999,-0.00189439999,0.00115729996,0.00200000009,
2024-08-30 16:43:38.927 -1.70000005,0,0,-0.579999983,0,-0.00719999988,0.0130000003,0.00999999978,1,1,1,0,0,0,0,0,0,0,0,0,0,255.75,250.25,255.75,242,2,1,0.00300000003,0.00200000009,0.49000001,11,1,23,-457.661987,-124.805,10.2270002,-172.050003,3,0.00115729996,0,-0.0986400023,0.824184,93.4141922,41.3639984,40.1688996,116.579845,0.00115729996,-0.00189439999,0.00115729996,0.00200000009,
